title,author,rating,warning,category,fandom,relationship,characters,additional_tags,publish_time,words,hits,kudos,comments,summary,firsthundred,url
［顺懂］水生情人12,ANSIRE,['Explicit'],[],['M/M'],['红海行动 | Operation Red Sea (2018) RPF'],there is nothing,there is nothing,there is nothing,2019-04-10,2386,303,2,0,no summary,45“怎么不说话？”人鱼趴在顾顺身上，一丝不挂，从锁骨往下的皮肤全透着淡淡的粉色。顾顺困难地吞了吞口水，觉得自己情况有些不好。“那个，你先下来……”他眼睛都不知道该往哪看，想伸手去推小懂反而扣着人凹陷,https://archiveofourown.org/works/18416408
【主天无副all无】堕落,MISAWA0218,['Explicit'],[],['M/M'],['梦间集 | Mèng Jiān Jí (Visual Novel)'],['天罡剑/无剑'],"['无剑（梦间集）', '天罡剑（梦间集）']","['无剑受', '天罡剑攻']",2019-08-19,2050,288,0,0,天罡剑和无剑的R18,——正文开车预警——自从无剑下山领众将与木剑的魍魉大队进行对决，无剑方大获全胜后，各方净土皆得以解放。可是谁也没想到，表面儒雅清秀的无剑居然还有另一副面孔。本来在大战中被木剑重伤的无剑，又因为天火的副,https://archiveofourown.org/works/20309002
下班後的二三事,chaLie,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Shingeki no Kyojin | Attack on Titan'],['Levi/Erwin Smith'],"['Levi (Shingeki no Kyojin)', 'Erwin Smith']",there is nothing,2014-04-25,480,507,4,0,no summary,　　其六　　小朋友睡著後就是大人時間了。　　「嗯......」　　衣服摩擦、嘴唇觸碰，利威爾覺得埃爾文掌心撫過的部位像火種般燃燒到骨子裡。室內的溫度有上升的錯覺。利威爾半跪在沙發上，兩條腿跨在男人身旁,https://archiveofourown.org/works/1521914
最高的离婚,sunflower009,['Explicit'],['Underage'],['M/M'],['文豪ストレイドッグス | Bungou Stray Dogs'],there is nothing,there is nothing,there is nothing,2019-06-04,4899,275,6,0,no summary,最高的离婚“妈的，太宰治，你到底把结婚证放哪了啊？”中原中也翻箱倒柜好一会后，回过头，没好气地问。而太宰治耸耸肩，“我哪知道”，他语气凉薄，“那会那玩意不是你随手一扔不知道扔到那去的吗。”中原中也一听,https://archiveofourown.org/works/19088416
恶友,Lavern,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Real Person Fiction'],['Lu Han/Zhang Yi Xing | Lay'],"['Lu Han', 'Zhang Yi Xing | Lay']",there is nothing,2019-10-11,39210,451,13,0,"竹马竹马设定 两个从小作妖作到大的大学生 大概是在跟周围各色人等搞过一圈之后忽然有一天俩小祖宗看对眼然后日复一日一发不可收拾的故事 所谓他俩相爱，就是为民除害。
警告：会有部分提及卤蛋两人与其他人的恋爱关系（不会正面出现对方的名字）和车（非常短）的戏份，请务必注意避雷。不接受关于设定的任何吐槽。",01. “你什么意思?”鹿晗把烟头摁在烟灰缸里，明灭的火星挣扎着吐出最后一息，终于咽气了。 坐在他对面的姑娘撩了一下头发，眼睛朝旁边瞥:“没意思，分呗。” 鹿晗歪着头，笑里藏刀:“我都不知道咱俩什么时,https://archiveofourown.org/works/20985260
何处（9）【完结】,wulongcha921,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Real Person Fiction'],there is nothing,there is nothing,there is nothing,2020-02-02,6210,209,7,0,no summary,若真论起得意，恐怕整个天津卫的人都比不上江淮远。南京的命令还没下来，何世安倒先往上递了辞呈。何家本来仅有三个儿子，大哥早先参军战死，如今父亲最疼爱的幼弟又死的这么不光彩且冤枉，外头的闲言碎语加上内心中,https://archiveofourown.org/works/22521712
Small Town of Texas,Silver_glass,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['The Slap (TV)', 'Star Trek RPF', 'Hell or High Water (2016)']",['Chris Pine/Zachary Quinto'],"['Harry Apostolou', 'Toby Howard']",there is nothing,2016-10-11,916,379,6,2,I love you. I really mean it.,0七月的德州，空氣如被烈火灼燒過般乾燥，不帶絲毫水分，刺痛著人們的呼吸，也挑起了人們煩躁的情緒。德州的夏天，令人感到不安，還有不耐。Toby走下車，眯眼望像刺眼的東方，然後他戴上墨鏡，轉身走進酒吧。遠,https://archiveofourown.org/works/8261668
凝脂,MalusPumila121,['Explicit'],['Creator Chose Not To Use Archive Warnings'],there is nothing,['Unspecified Fandom'],there is nothing,there is nothing,there is nothing,2018-05-15,2848,784,2,0,no summary,“怎么现在才来！”白孝文捶了捶腿，气恼地偏头瞥了一眼那大大咧咧一屁股坐在蒲团上的人。“当着列祖列宗呢你能不能有点正经儿？”他和余占鳌早就约好今天在祠堂碰头，谁知他在这里跪了半天还要假装念着祷词，天都擦,https://archiveofourown.org/works/14668065
涅槃 06-10,kingstar,['Explicit'],[],['M/M'],['A - Fandom'],there is nothing,there is nothing,there is nothing,2017-08-01,15145,359,0,0,no summary,第六章二宫和也突然说想去北海道，这种从来大门不出二门不迈的宅男竟然提出远行的计划，着实让樱井翔头疼起来。冬天的北海道除了冷还是冷，白茫茫的积雪，看不到富良野的花田，也不高兴裹着厚重的棉袄出去。按照松本,https://archiveofourown.org/works/11675166
Knowing/了然于心,xyoshiki,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Captain America (Movies)'],['Steve Rogers/Sam Wilson'],"['Steve Rogers', 'Sam Wilson (Marvel)']","['Hydra (Marvel)', 'Mindfuck', 'First Time']",2016-02-08,10067,297,8,0,Sam一直搂着他，轻轻抚摸着他的背：“别担心，man，我们能搞定的。”突然之间Steve对此深信不疑：他和Sam总会找到什么办法来弄清一切。,Steve猛然惊醒过来，还没睁开眼睛就先下意识地抓住了入侵者的胳膊，然后他意识到压在自己身上的那个身体小得有点古怪；再然后，他发现自己正和一个小姑娘的一双愤怒暴躁的眼睛对瞪着，她看上去大概也就六岁大，,https://archiveofourown.org/works/5950591
黄粱一梦,TheHiddenSword,['Explicit'],['Graphic Depictions Of Violence'],['M/M'],['偶像练习生 | Idol Producer (TV)'],['Fan Chengcheng/Huang Minghao | Justin'],"['Huang Minghao | Justin', 'Fan Chengcheng']",there is nothing,2019-10-10,4875,409,1,0,一个因为昊昊的保安type和丞的巴黎黑风衣type而出现的PWP，本想几乎纯车，结果还是推了剧情。 4k8+字。有一些《无间道》的台词梗，看不懂也没关系。 很久没写肉了，随便黄色废料一下，没写到最后但是也没有拉灯，有直观R18描写，慎。 杀手X卧底警察。可能有后续。,黄明昊恢复知觉的时候，并没有搞清楚此刻自己身处何处。他试着活动身体，似乎没有受伤，但反剪着捆在身后的手背、被遮挡的视线、后脑的酸痛，都让他意识到情况的不妙。小黄警官咬了咬牙，暗自骂了一声。“呀，你醒啦,https://archiveofourown.org/works/20974247
迷失白加道,jjonaklove,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['双天王 - Fandom', 'Actor RPF']",['刘德华/郭富城'],"['刘德华', '郭富城']",there is nothing,2019-09-29,14576,124,3,0,no summary,       入夜，维多利亚港灯火闪耀。南面对岸的商圈人声鼎沸，公车站的巨幅广告上印着歪带檐帽，皮衣掩映的肌肤泛着古铜色光泽的天王，这个城市每一个人熟悉的那幅面容。年底的新演唱会即将在内陆的古城举办，,https://archiveofourown.org/works/20816996
《新生》4,427nazuna,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['天狼 Sirius the Jaeger | Sirius the Jaeger (Anime)'],['米哈伊尔/尤里'],['米哈伊尔 尤里'],there is nothing,2018-11-11,2194,457,6,0,no summary,大家双十一快乐呀来吃点肉注意尤里醉酒状态 “哥哥……抱……”酒精麻痹了尤里的大脑神经，眼前的一片变得朦胧，似梦非梦，真实与虚幻早就已经分不清楚，身体仿佛沉浸了海洋之中，冰冷，黑暗。眼前的米哈伊尔是幻影,https://archiveofourown.org/works/16586084
xxx,mywifesocool,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Professional Overwatch RPF'],['Carpe | Lee Jae-Hyeok/Eqo | Josh Corona'],"['Carpe | Lee Jae-Hyeok', 'Eqo | Josh Corona']",there is nothing,2019-10-28,2776,92,0,0,no summary,一阵刺痛后，josh醒来在这个陌生房间里。 慢慢恢复意识，后脑勺的晕眩被莫名的烦躁所替代。呼吸紊乱，身体的燥热从四肢散发占领着他全身，大脑不能清楚地分析所眼下的遭遇，往日平静不惊的心神被那股暗暗的欲望,https://archiveofourown.org/works/21209384
日常系列。3,caihan3,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"[""Men's Football RPF""]",['球迷/克罗斯'],there is nothing,there is nothing,2019-11-11,1038,364,5,0,no summary,我得逞了。…………看着他向这边越走越近，我拿着本子的手努力往前伸。我叫着他的名字，但没有很大声，混在周围的呼声里。他走到我的面前，接过我手中的本子和笔给我签了名，签完之后他抬起头对我笑了一下。我看到了,https://archiveofourown.org/works/21395386
Peeling Off,Christywalks,['Explicit'],[],['M/M'],['The State Within'],['Nicholas Brocklehurst/Christopher Styles'],"['Nicholas Brocklehurst', 'Christopher Styles']",there is nothing,2017-03-15,2418,97,1,0,no summary, 第一条规矩，卧室里不允许讨论工作。  尼古拉斯被粗暴地推到墙上，朝天花板露出脆弱的颈部，他还没将这声因撞到后脑勺而略带抱怨的呻吟咽下去，克里斯托弗已经扑了过来，像猎豹扼杀羚羊那样一口咬住他的脖子。他,https://archiveofourown.org/works/10311716
金田一少年事件簿N之gift-第八十九章,lemonjack,['Explicit'],['Graphic Depictions Of Violence'],['M/M'],['金田一少年の事件簿 | Kindaichi Shounen no Jikenbo | Kindaichi Case Files - All Media Types'],['Kindaichi Hajime/Takatoo Youichi'],"['Kindaichi Hajime', 'Takatoo Youichi']",['Kindaichi Shounen no Jikenbo Neo'],2020-01-22,2749,13,0,0,89,　　温曳的眼睛再次垂了下来，快速调整了一下自己的情绪，自我厌恶的表情却怎么都无法消失。　　“重回奥地利，在看到那具身体的时候我彻底确定她就是舒沁姐姐，就算那个标志性的蝴蝶结已经丢失，DNA鉴定进一步地,https://archiveofourown.org/works/22356901
蓝鲨,Sharppppjuicer,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['無雙 | Project Gutenberg (2018)', '赌神 - Fandom', '龙神太子']",['高进/小忠'],"['高进', '小忠']",there is nothing,2019-08-07,5593,266,8,0,人鱼小忠————,高进x小忠人鱼！！==========小忠来的那天是个雨天，是用一双腿——人类的腿——走到高进的车前面的。他走路摇摇晃晃，好像酒精在血管里发酵催使着他看不清路，如此才能撞到高进的车上。碍于台风过境，这,https://archiveofourown.org/works/20150296
"Bugs, Beats, Bovary",justabore,['Explicit'],['Underage'],['M/M'],['The Man From U.N.C.L.E. (2015)'],['Illya Kuryakin/Napoleon Solo'],"['Illya Kuryakin', 'Napoleon Solo', 'Gaby Teller']","['Alternate Universe - Modern Setting', 'Moral Ambiguity', ""i love gaby i'm so sorry""]",2016-04-23,7475,0,32,0,伊利亚和拿破仑一起长大，但是从未成为他们应当成为的那种朋友。,“看起来我发现了你的安全屋。”拿破仑循着微弱的灯光爬上阁楼。楼下的人太吵了，好像从来没露营过似的。他本以为在这上面免不得会碰上偷偷亲热的小情侣，心中早就准备好了好几句俏皮话，丢下一句便潇洒而去。然而映,https://archiveofourown.org/works/6639436
【谭陈】交易 38,党的女儿 (kaede54),['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['放弃我抓紧我 | Stay With Me (TV)', '欢乐颂 | Ode to Joy (TV) RPF']",['谭陈'],"['陈亦度', '谭宗明']",there is nothing,2018-07-31,1859,1601,2,0,no summary,车内。 谭宗明靠着座椅，闭目养神，一言不发。老严在前面开车，透过后视镜看见了，从前头置物箱取了一个药瓶递给陈亦度。 陈亦度接过来，一看是醒酒的药。陈亦度在的那会儿谭宗明就已经喝了不少，又没吃什么东西，,https://archiveofourown.org/works/15510504
Roses（一）,John_Z,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['All光 - Fandom'],there is nothing,there is nothing,there is nothing,2019-04-12,2749,448,0,0,*第一人称+第三人称*CP：攻（不止一个）×光一/秀行*红白玫瑰梗，全文雷,  “Don’t you cry tonight Don’t you cry tonight……you’ll feel better tomorrow ” 第两个月零七天，CD里这首温柔的摇滚他每天都,https://archiveofourown.org/works/18437414
破事儿,the_winter_solstice,['Explicit'],['Graphic Depictions Of Violence'],['M/M'],"['Captain America (Movies)', 'The Avengers (Marvel Movies)']","['James ""Bucky"" Barnes/Steve Rogers']","['Steve Rogers', 'James ""Bucky"" Barnes', 'Natasha Romanov', 'Tony Stark', 'Nick Fury', 'Clint Barton', ""Clint Barton's family"", 'Bruce Banner', 'Jarvis (Iron Man movies)', 'Thor (Marvel)']",['TRUST ME CAPTAIN IS BROUGHT BACK AT THE END OF THE STORY'],2016-04-28,22498,0,40,0,no summary,从这天大早莫名的奇妙接吻伊始，Bucky就隐隐感到哪里不对头的征兆，彼时他将其归因于早起的副作用，无论是对没头没脑扑上来就亲的Steve而言还是胡乱应付了事他自己（Bucky不是什么洁癖，却也没不刷牙,https://archiveofourown.org/works/6681916
"Sun, Moon and You",Kaixinjiuhao,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"[""Men's Football RPF""]",['Toni Kroos/Marco Reus'],there is nothing,there is nothing,2018-09-28,2377,2194,19,0,no summary,Marco一向预测不准自己的发情期，或者说，他根本没有认真地去记录过自己的发情期。他的发情期一向有些紊乱，而他将这个过错归咎于Toni对自己的索求无度。不过这次，他真的没有感觉到发情期的即将来临——诚,https://archiveofourown.org/works/16121594
同调呼吸,nancysix,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Kanjani8 (Band)'],['Ohkura Tadayoshi/Yasuda Shota'],there is nothing,there is nothing,2018-09-25,2215,567,4,0,·狙击手仓×观察员安 ·ooc的没啥剧情的车 ·末尾有点横雏,身后的男人半趴伏在他的腰间，枪就架在他的肩膀上，当他每一次呼吸都能由枪传到男人的手里。目标还没出现，安田安静地趴着，拿着手里的单筒望远镜仔细的观察着对面大厦的某一面落地窗。 “出现了。” 话音刚落，子,https://archiveofourown.org/works/16093895
爱本无罪,sixsixsixsixsix,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['声入人心'],['晰杨弘'],"['高杨 - Character', '王晰', '黄子弘凡']",there is nothing,2019-06-28,4162,1343,15,0,是伪2008年的同性爱情,我说，你好高杨。  他有一双眼角上挑的眼睛。原先低着头看不分明，抬眼恍若揭开天仙的面纱。波光粼粼在他眼里，万千星辰也在他眼里。  他同我握手，手指细长但带肉感。我心跳得好快，脸也发起烫，好像被架在火里,https://archiveofourown.org/works/19395313
服务上门,Phoenix1224,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['破冰行动 | The Thunder (TV)'],['飞强'],"['李飞', '蔡永强']",there is nothing,2019-06-28,5520,1297,10,0,收了嫖资，就得卖力干活啊，当然有诚意的还会服务上门。,难得没有加班，李飞吃了晚饭之后，自己在商场逛街的时候，收到了蔡永强的转账，瞟了眼金额，吓一跳，他小半月工资呢。李飞愣了一会儿，还是直接把电话打了过去，那边接的很快，倒也开门见山，“怎么不收呀？”李飞多,https://archiveofourown.org/works/19393303
道标,Lacisse,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],there is nothing,there is nothing,there is nothing,2018-01-01,23472,551,11,0,no summary,* 爆豪胜己x绿谷出久* 原著向，第一话分支* 正剧，有OC，大量私设，年龄操作 序章 “现场被处理的太干净了，留下的线索也太少，太模糊，甚至不排除是故意留下来混扰搜查的信息。”搜查部的警察拉起封锁现,https://archiveofourown.org/works/13229271
正确调情的方法,Kornblume,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['Transformers', 'Transformers - All Media Types', 'Transformers Generation One', 'The Transformers (IDW Generation One)', 'The Transformers (Cartoon Generation One)']",['D38 - Relationship'],"['Devcon', 'Smokescreen (Transformers)']",['旧坑'],2018-11-24,1569,251,3,4,D38没填完的旧坑,“有没有人对你说过，看着你的眼睛，就像看到了沙漠里的绿洲？”男人抬起头对她笑，深蓝色双眸弯成温柔的形状，“你每天都在用这片绿洲迎接疲惫的旅人么？那我相信他们一定能打起精神来……嗯，就像我。”女侍动作娴,https://archiveofourown.org/works/16726617
克制不住【野战篇】,Luange33,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['. - Fandom'],['Couple - Relationship'],['Bakugou Katsuki Midoriya Izuku'],there is nothing,2019-04-12,1972,1676,18,0,no summary,[胜出]克制不住•下车！车车车！高h肉文草地野战！终于写到车了15551，接上文，铺垫其实并不是很长好嘛...朴实甜，甜腻腻的那种不会写...将就看吧，这章绿谷视角ummm如果可以谢谢喜欢哦 那么上车,https://archiveofourown.org/works/18439889
每月第三个星期天,Uraei,['Explicit'],['Creator Chose Not To Use Archive Warnings'],there is nothing,['Justice League (animated) - Fandom'],there is nothing,"['Superman', 'Lex Luthor']","['enemyslash', '中文翻译 | Translation in Chinese']",2016-08-10,2106,213,5,0,克拉克有问题要问。莱克斯能够回答。差不多是这样。,可笑的是，超级英雄在史崔克监狱岛不受欢迎。正是在这里，人类司法取代面具义警接管正义，奇装异服的疯子们，现已成为美国都市风景的永久特征之一，没人愿意去思索他们到底多么依赖超级英雄。克拉克全然理解，这就是,https://archiveofourown.org/works/7728376
芙蓉帐暖,zuixunzimo,['Explicit'],['Creator Chose Not To Use Archive Warnings'],there is nothing,"['朱白 - Fandom', '龙宇', '居北 - Fandom']",there is nothing,there is nothing,there is nothing,2018-12-29,3217,1546,7,0,no summary,白宇被自从上次给发小当伴郎跳了大花轿之后，一直被单位同事称作职业伴郎。他自己是无所谓，自家的小助理倒是急得很，天天在他耳边念叨要发新歌了，要拍MV了，要穿着得体了。那天他路过公园，见大爷在那里闲着无聊,https://archiveofourown.org/works/17208374
One more night,mooyu0505,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Cytus (Video Game)'],['Xenon/ConneR (Cytus)'],there is nothing,there is nothing,2019-05-13,679,177,1,0,XCR炮友設定,　　老是記不清楚怎麼開始的，那可能是一個意亂情迷的吻，也可能只是一個不經意的肢體接觸。　　他們互相都想在一個夜晚佔有對方，只有夜晚，唇舌間的交纏都變得格外小心，似乎是害怕被察覺到自己的情感，**他們都,https://archiveofourown.org/works/18808759
【崔准宇x邕圣祐】一个完全没有题目的小车,Ampereanan,['Explicit'],['Underage'],['M/M'],['崔准宇/邕圣祐'],['崔准宇/邕圣祐 - Relationship'],['崔准宇/邕圣祐 - Character'],there is nothing,2019-08-10,1478,155,1,0,注意看清楚了崔准宇攻 水仙,邕圣祐在网上约炮呢 要求不多，除了器大活好，就长的OK了 但是今天这个也太他妈太长的过于OK了吧？除了身高和尺寸以外和他没什么不同的了！他和他的约炮对象，长的一模一样 导致他开门的时候还以为是不小心打,https://archiveofourown.org/works/20189800
Revelry,Double_left,['Explicit'],[],['M/M'],['Transformers - All Media Types'],"['Air Raid/Fireflight/Silverbolt/Skydive/Slingshot', 'Blaster/Bluestreak', 'Drift | Deadlock/Rodimus Prime']","['Air Raid (Transformers)', 'Fireflight (Transformers)', 'Silverbolt (Transformers)', 'Skydive (Transformers)', 'Slingshot (Transformers)', 'Blaster (Transformers)', 'Bluestreak (Transformers)', 'Rodimus (Transformers)', 'Drift | Deadlock', 'Blurr (Transformers)']","['Sticky Sexual Interfacing', 'PWP without Porn']",2019-01-21,8399,375,6,0,LL不需要理由的狂欢。Revelry of lost light without reason.,LL船员们管他什么节反正又在酒吧里开始狂欢，就算没有节日，补天士也是要找个由头闹腾一番的，而且这回停驻在港口，甚至在地面上搭起了舞台，挂了个大水晶球在上面转圈，一打光，我了个U球的，光镜都能给你闪废，,https://archiveofourown.org/works/17500148
地铁半日游,lynn1230,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Star Trek RPF'],"['Chris Pine/Zachary Quinto', 'Chris Pine/???']","['Chris Pine', 'Zachary Quinto', 'Other(s)']","['Rape/Non-con Elements', 'Sexual Harassment', 'Public Humiliation', 'Semi-Public Sex', 'Creepy Behavior', 'Clothed Sex', 'Train Sex', 'Bottom Chris', 'Top Stranger']",2015-06-18,2222,1003,13,2,准备出门跟男友约会的Chris在自家门口发现了一个包裹，当他打开包裹之后，发现有人居然早就知道了他和男朋友Zachary·Quinto之间的秘密！Chris该怎么办，才能保守住这个秘密呢……,声明：他们都不属于我，他们只属于他们自己。 半AU，认定Chris和Zach在交往中，地铁痴汉瞩目！ 如果你对以上接受良好，祝食用欢快！ Chris猛地抬起头看了一眼墙上的挂钟。糟糕！时间快到了！他和,https://archiveofourown.org/works/4156947
金田一少年事件簿N之gift-第五十四章,lemonjack,['Explicit'],['Graphic Depictions Of Violence'],['M/M'],['金田一少年の事件簿 | Kindaichi Shounen no Jikenbo | Kindaichi Case Files - All Media Types'],['Kindaichi Hajime/Takatoo Youichi'],"['Kindaichi Hajime', 'Takatoo Youichi']",['Kindaichi Shounen no Jikenbo Neo'],2019-12-16,2916,23,0,0,54,　　高远遥一的眼睛里闪耀出莹亮的神采，嘴角扬得更高。　　“我刚才被安妮斯朵拉给误导了，看到j、a、c、k这四个字母自然就想到了人名，毕竟这些字母没有注明大小写。现在仔细想起来这是一个陷阱，jack这个,https://archiveofourown.org/works/21815947
Rainbow,ltfoxyee,['Explicit'],[],['M/M'],['Biohazard | Resident Evil (Gameverse)'],['Piers Nivans/Chris Redfield'],there is nothing,there is nothing,2017-11-22,9981,226,6,0,"“They looked at each other in the crowd, eyes filled with perpetual amazement. How on earth this could happen, they had no idea.”",当Piers第一次走进总部的办公室的时候，Chris就知道无论那位新来的狙击手是不是故意的，他都会成为一个麻烦。办公室里的女性打量他的那种眼神，仿佛Piers是一块美味的鲜肉，而她们都是饿了好几个星期,https://archiveofourown.org/works/12795129
殇未悔 二,Moyeasen,['Explicit'],[],['M/M'],['剑网三'],['双明'],there is nothing,there is nothing,2019-03-21,4447,490,2,0,#双明# #ABO# #不喜勿入#,殇未悔 二双明ABO/私设有伊穆尔x 陆晌宇三观歪深井冰喵x香软切黑奶喵世界线无交错关联私设：AA/AB都可机率性完全标记/怀孕涉磺注意Ok? GO→－【一周后。】陆晌宇的例假过后仍和平常相差无几，可,https://archiveofourown.org/works/18183086
幕后二重,holicccccc,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['异坤'],there is nothing,there is nothing,there is nothing,2019-06-20,1332,2077,3,0,no summary,从进化妆间开始，蔡徐坤就有一种不祥的预感，直到王子异压着他在门板上与他亲吻，蔡徐坤自动自觉把预言家的帽子给自己扣上。王子异轻轻抬起他的下巴，好让自己更加顺风顺水地在蔡徐坤的口腔里翻云覆雨。甜的，还有一,https://archiveofourown.org/works/19293976
狩猎者 兽人AU 狮锤x黑豹基,YaoYaoYao,['Explicit'],['Creator Chose Not To Use Archive Warnings'],there is nothing,['。'],there is nothing,there is nothing,there is nothing,2019-12-01,4829,1774,26,0,有兽类👏描写，伪父子，有洛基的儿子打酱油 锤为了保护基差点鲨了他的儿子（在这之前锤基都不知道这个崽的存在），基救儿子的行为伤了锤的心，于是基回来补偿他，同时他还要向锤隐瞒一件事情。,山洞内传出的怒吼声让黑豹止住了脚步。索尔知道他回来了，显而易见的，他还没消气。洛基掂了掂口中依旧温热的羚羊尸体，估算一下雄狮吃了它之后胃袋还剩多少空间，又有多大的概率由他自己填上。这就是收养一头半大的,https://archiveofourown.org/works/21630001
海之歌,Vienta,['Explicit'],[],['M/M'],"['Adam et Ève: La Seconde Chance', ""Mozart l'Opéra Rock - Mozart/Baguian & Guirao RPF""]",['solal/nuno resende'],"['Solal', 'Nuno Resende']","['HP AU', 'Half Blood Wizard! Nuno Resend']",2018-03-14,2637,955,11,0,从两年前，Nuno Resende就开始对斯莱特林院长——Solal Morhain教授——有好（♂）感。他追求/诱惑了后者两年。在Nuno的毕业舞会结束之后，这对过去的师生终于滚上了床。,被Solal摔到床上时，Resende感到一阵晕眩。方才跳舞中，两人身体相贴，他像一条蛇一样在Solal身上扭缠，彼此的反应都骗不了人。当时他已有一些预感。但当Solal真的揽着他的腰并幻影移形，他仍,https://archiveofourown.org/works/13971684
【才国】好好学习,msk2929,['Explicit'],"['Creator Chose Not To Use Archive Warnings', 'No Archive Warnings Apply']",['M/M'],['B.A.P'],there is nothing,"['方容国', '刘永才']",there is nothing,2018-03-11,3330,117,4,0,pwp,“可是我喜欢你呀，容国哥。”刘永才说完这句话便吻上了方容国。对方的舌甫一进入便大肆进攻，方容国虽然有过女友，但是总是还没进展到最后便莫名基妙断了关系，所以作为经验者的他虽然写过那么几首小黄歌，事实上却,https://archiveofourown.org/works/13937280
还记得那个夏天吗,pp645219591,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['博君一肖'],['肖战/王一博'],"['肖战', '王一博 - Character']",['那个夏天来了'],2020-01-16,1513,594,3,0,no summary,还记得那个夏天吗（8）  一路的狂奔，淅沥沥的小雨落在脸颊上，但肖战并没有伸手去擦，刚才刘海宽的话还回荡在耳旁。“阿赞，你还记得我之前问过你是哪里人么？那是因为我有次无意把我们的合照发给他看，他一眼就,https://archiveofourown.org/works/22278064
雁灰 第16章 回响,Lian_W,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Original Work'],['殷泉/源绍瞳'],"['殷泉', '源绍瞳']",there is nothing,2019-09-08,3026,39,0,0,no summary,源绍瞳喝醉了，在他径自灌下三杯红酒之后，酒量十分之差。好在他酒品还算好，不缠着人话唠也不撒泼耍酒疯，喝醉之后一只手捂着自己的双眼，倚靠在沙发上，满脸潮红，抿着双唇。明明是自己把自己灌醉的，看起来还怪委,https://archiveofourown.org/works/20560970
公关危机,halfpoint,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Foundation - Isaac Asimov'],"['original male character/ R. Daneel Olivaw', 'OC/eto demerzel']","['R. Daneel Olivaw', 'Original Male Character(s)', 'Eto Demerzel']",there is nothing,2019-10-12,7146,100,1,0,*当原创看的话，那么就是之前提到的拉皮条反被嫖客看上，一咬牙还是把生意做了的俗套故事。 *这个设定里首相被老皇帝意外日过，但还没有建立稳定关系。 *不要问首相有什么私事，问就是要斥巨资给他的宝贝地球松松土。川陀纳税人的钱哗哗往水里砸*海斯特娄尼亚区是真实存在的！,　　“所以说，可否愿意行个方便呢？”面前的男人换了个姿势，重新交叠双腿。他的身体微微向前倾，表现出几分期待和谦逊，语气也透出恰到好处的谄媚来，可是脸上的表情却仍旧平静无波。事实上，海斯特从来想象不出丹,https://archiveofourown.org/works/20998151
往生情书,Seesheer,['Explicit'],['Graphic Depictions Of Violence'],['M/M'],['白夜追凶 | Day and Night (TV)'],there is nothing,there is nothing,there is nothing,2019-07-12,964,73,0,0,no summary,“我真喜欢他。”    关宏峰反复体会周巡说的这句话，无数次想象与他鼻息相对，肌肤相亲。他在衣柜里找出一件新的黑色衬衣穿上，系上扣子又解开。从抽屉里找出创可贴，贴在自己的乳头上。自从被周巡含过后，乳头,https://archiveofourown.org/works/19777834
龙王豹】醉里春宵,Michelle_HuaJi,['Explicit'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['哪吒之魔童降世'],['龙王豹'],"['龙王', '申公豹']",there is nothing,2019-08-06,1627,6179,117,0,no summary,接【本能】总述：申公豹要是能生，应该是生睚眦。正文→大豹子抬起条后腿要标记自己的新领地，龙王也不恼这大猫在自己寝宫撒尿，尾巴圈住大猫的瘦腰。“龙宫地界广，只靠尿应该是不够，我再帮你弄些别的出来 好不好,https://archiveofourown.org/works/20136250
